package	dependency	version
Assets	nexus/accounting	*@dev
Assets	nexus/audit	*@dev
Assets	nexus/uom	*@dev
Assets	nexus/sequencing	*@dev
Budget	nexus/accounting	*@dev
Budget	nexus/party	*@dev
CashManagement	nexus/receivable	*@dev
CashManagement	nexus/payable	*@dev
CashManagement	nexus/period	*@dev
CashManagement	nexus/currency	*@dev
CashManagement	nexus/sequencing	*@dev
CashManagement	nexus/import	*@dev
CashManagement	nexus/setting	*@dev
CashManagement	nexus/workflow	*@dev
Currency	nexus/accounting	*@dev
FieldService	nexus/party	*@dev
FieldService	nexus/scheduler	*@dev
FieldService	nexus/routing	*@dev
FieldService	nexus/workflow	*@dev
FieldService	nexus/storage	*@dev
FieldService	nexus/notifier	*@dev
FieldService	nexus/audit-logger	*@dev
FieldService	nexus/tenant	*@dev
FieldService	nexus/product	*@dev
GeneralLedger	nexus/chart-of-account	^1.0
GeneralLedger	nexus/journal-entry	^1.0
GeneralLedger	nexus/period	^1.0
Geo	nexus/party	*@dev
Geo	nexus/connector	*@dev
Inventory	nexus/uom	*@dev
Manufacturing	nexus/inventory	*@dev
Manufacturing	nexus/product	*@dev
Manufacturing	nexus/uom	*@dev
Manufacturing	nexus/warehouse	*@dev
Manufacturing	nexus/machine-learning	*@dev
Payable	nexus/accounting	*@dev
PaymentBank	nexus/payment	*@dev
PaymentBank	nexus/connector	*@dev
PaymentGateway	nexus/payment	*@dev
PaymentRails	nexus/payment	^0.1
PaymentRecurring	nexus/payment	^0.1
PaymentRecurring	nexus/scheduler	^1.0
PaymentWallet	nexus/payment	^0.1
Receivable	nexus/accounting	*@dev
Receivable	nexus/party	*@dev
Receivable	nexus/sales	*@dev
Receivable	nexus/period	*@dev
Receivable	nexus/sequencing	*@dev
Receivable	nexus/audit-logger	*@dev
Statutory	nexus/accounting	*@dev
Statutory	nexus/period	*@dev
Tax	nexus/accounting	*@dev
Tax	nexus/geo	*@dev
Tax	nexus/party	*@dev
Tax	nexus/product	*@dev
Tax	nexus/tenant	*@dev
Tax	nexus/audit-logger	*@dev
Tax	nexus/telemetry	*@dev
Tax	nexus/storage	*@dev
Warehouse	nexus/inventory	*@dev
