package	dependencies_used_in_src
Assets	nexus/period,nexus/setting
Audit	nexus/crypto
Budget	nexus/audit-logger,nexus/currency,nexus/machine-learning,nexus/notifier,nexus/period,nexus/procurement,nexus/setting,nexus/uom,nexus/workflow
Document	nexus/audit-logger,nexus/crypto,nexus/storage,nexus/tenant
FieldService	nexus/backoffice,nexus/document,nexus/geo,nexus/inventory,nexus/sequencing,nexus/warehouse
GDPR	nexus/data-privacy
PDPA	nexus/data-privacy
Party	nexus/geo
PaymentBank	nexus/crypto
PaymentGateway	nexus/connector
PayrollMysStatutory	nexus/payroll
ProcurementML	nexus/machine-learning,nexus/scheduler
Product	nexus/sequencing,nexus/uom
Receivable	nexus/currency
Reporting	nexus/audit-logger,nexus/export,nexus/notifier,nexus/query-engine,nexus/scheduler,nexus/storage
Routing	nexus/geo
Tax	nexus/currency
Warehouse	nexus/routing
